BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr312,45.2395062,27.7580247,18.3259259,33.1428571,16.6685185,5.2964135,12.088574,0.09329977,0.014448878,30400000,1.79E+08,3751057.8,3709112.5,20,24,14
bcr313,200.095238,73.0444444,22.7046414,29.8592593,9.57142857,8.18987342,1.03904172,0.05468433,0.126737991,45700000,1.45E+08,1983193.6,3000118.5,20,32,13
bcr317,107.54321,78.037037,36.4320988,9.80952381,6.22407407,2.90189873,0,0.09210345,0.012910515,22100000,1.45E+08,1799037.4,2234359.2,10,23,12
bcr320,94.6388889,68.5277778,30.0092593,1.35714286,1.24259259,2.85970464,0,0.04983316,0.146733873,31100000,1.23E+08,1945732,1654177.1,20,24,15
bcr321,42.2345679,28.6500474,19.4866385,68.8571429,7.57592593,6.15084388,0,0.44835009,0.040645521,2.80E+07,2.85E+08,3149134.5,2254807.8,20,23,13
bcr323,49.8888889,18.2911392,18.2911392,43.5,16.2981481,6.96308017,19.9086461,0.46040562,0.032344801,31400000,2.43E+08,3600533.5,1143912.6,20,23,12
bcr324,199.361111,206.861111,91.6759259,104.690476,14.9648148,6.69936709,2.69825343,0.05020861,0.021144779,25600000,2.01E+08,1747519.1,2232925.2,20,26,13
bcr329,42.8400708,15.9382716,16,18.2619048,15.7981481,4.842827,2.47339898,0.26030556,0.004093631,18400000,2.17E+08,2481943.8,4877203,30,26,16
bcr331,74.5802469,69.2063492,37.4894515,19.6904762,7.26111111,3.15506329,0,0.67841483,0.085469404,45800000,1.83E+08,2397198,5145911.5,30,25,14
bcr332,58.4074074,45.7779772,31.511955,5.46481481,2.42857143,3.64029536,0,0.16883099,0.01584766,37200000,2.44E+08,2113983,3534227.8,20,27,18
bcr333,117.601852,86.5833333,28.8055556,10.9833333,3.14285714,3.45042194,0,0.04572192,0.003206298,26100000,2.39E+08,2069538.2,701836.25,30,26,12
bcr346,322.851852,302.975309,194.209877,68.8571429,21.9648148,13.1972574,0,0.07104346,0.012127274,59900000,2.51E+08,1408403.5,3827572,20,32,14
bcr351,159.380952,96.7481482,20.8059072,69.2666667,19.3333333,69.2666667,10.2152978,0.04579031,0.270217157,27100000,1.31E+08,2202946,4639242,40,25,11
bcr357,80.2592593,59.6419753,38.5308642,26,14.9092593,3.47151899,0,0.12154811,0.006308085,29600000,1.63E+08,2727020.8,2609649.2,20,23,14
bcr359,82.4166667,41.7685185,26.7685185,2.30952381,9.18703704,3.51371308,0,0.04966656,0.04612456,4.00E+07,1.60E+08,2686411,2729783,30,24,12
bcr361,240.62963,125.197531,117.54321,9.57142857,8.02037037,5.39135021,0,0.07302297,0.013681916,57500000,3.30E+08,2021520.4,4724960.5,20,26,13
bcr362,199.641975,127.790124,121.123457,38.8571429,14.65,4.28375527,18.3189258,0.07336282,0.01921363,43300000,2.81E+08,1748757.2,9535344,20,27,18
bcr363,236.525926,209.142857,97.6835443,36.8222222,15.2857143,13.0843882,20.7150722,0.13942849,0.422232751,4.70E+07,1.82E+08,1880738.4,2886452.2,20,24,14
